,Unnamed: 0.1,Unnamed: 0,설치기관명,설치기관주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
5437,5437,5437,푸른마을동아아파트 (관리사무소),"서울특별시 성북구 서경로 31 (정릉동, 푸른마을동아아파트)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5438,5438,5438,정릉2차e-편한세상아파트 (관리사무소(1층)),"서울특별시 성북구 북악산로 851 (정릉동, 정릉2차 e-편한세상)",00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,100:00~23:59,09:00~18:00
5439,5439,5439,정릉힐스테이트3차아파트 (관리사무소),"서울특별시 성북구 보국문로 116 (정릉동, 정릉힐스테이트3차)",,,,,,,00:00~24:00,
5440,5440,5440,정릉태영아파트 (관리사무소),"서울특별시 성북구 서경로 28 (정릉동, 태영아파트)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5441,5441,5441,정릉경남아파트 (관리사무소),"서울특별시 성북구 정릉로 305 (정릉동, 경남아파트)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5442,5442,5442,6호선 안암역 (지하2층 아이센터 맞은편),서울특별시 성북구 인촌로 지하 89 (안암동5가),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5443,5443,5443,한국예술종합학교 (천장관 1층 건강진료실 앞),서울특별시 성북구 화랑로32길 146-37 (석관동),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5444,5444,5444,래미안석관아파트 (정문초소내),"서울특별시 성북구 화랑로 214 (석관동, 래미안석관)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5445,5445,5445,상월곡동아에코빌 (관리사무소),"서울특별시 성북구 장월로1길 28 (상월곡동, 동아에코빌아파트)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5446,5446,5446,성북구청 (1층),서울특별시 성북구 보문로 168 (삼선동5가),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5447,5447,5447,삼선푸르지오 (정문경비실),"서울특별시 성북구 보문로29다길 31 (삼선동2가, 삼선푸르지오)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5448,5448,5448,4호선 한성대입구역 (지하 1층 대합실 역무실 앞),서울특별시 성북구 삼선교로 지하 1 (삼선동1가),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5449,5449,5449,보문지하철역 (지하2층),서울특별시 성북구 보문로 지하 116 (보문동1가),05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59,05:00~23:59
5450,5450,5450,성북구동선보건지소 (1층 로비 입구),서울특별시 성북구 아리랑로3길 8 (동소문동6가),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
5451,5451,5451,성북시각장애인복지관 (1층 엘리베이터 옆),서울특별시 성북구 동소문로25가길 20 (동선동4가),07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,07:30~21:00,,,
5452,5452,5452,성신여대입구역 (역사내),서울특별시 성북구 동소문로 지하 102 (동선동4가),05:00~25:00,05:00~25:00,05:00~25:00,05:00~25:00,05:00~25:00,05:00~24:00,05:00~24:00,05:00~24:00
5453,5453,5453,경찰(돈암지구대) (소내책상컴퓨터옆),서울특별시 성북구 아리랑로5길 54 (돈암동),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5454,5454,5454,돈암치안센터 (순찰차11호 998무),"서울특별시 성북구 아리랑로5길 54, 돈암지구대 순찰차11호 (돈암동)",,,,,,,,
5455,5455,5455,일신건영휴먼빌아파트 (관리사무소),"서울특별시 성북구 아리랑로 89 (돈암동, 일신건영휴먼빌)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5456,5456,5456,길음뉴타운9단지아파트 (관리사무소),"서울특별시 성북구 길음로9길 50 (길음동, 길음뉴타운)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5457,5457,5457,래미안길음2차아파트 (관리사무소),"서울특별시 성북구 길음로 74 (길음동, 길음뉴타운)",00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,,
5458,5458,5458,래미안길음1차아파트 (관리사무소),"서울특별시 성북구 길음로9길 40 (길음동, 래미안길음1차)",00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,,
5459,5459,5459,길음동부센트레빌 (관리사무소),"서울특별시 성북구 숭인로2길 61 (길음동, 길음동부센트레빌)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5460,5460,5460,등촌부영아파트 (정문초소내),서울특별시 강서구 강서로56나길 110 관리사무실,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5461,5461,5461,등촌아이파크아파트 (관리사무소),서울특별시 강서구 등촌로 163 관리사무실,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5462,5462,5462,등촌주공6단지아파트 (관리동 복도벽),서울특별시 강서구 화곡로63가길 18 관리동 복도벽,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5463,5463,5463,4호선 길음역 (역사내),서울특별시 성북구 동소문로 지하 248 (길음동),06:00~25:00,06:00~25:00,06:00~25:00,06:00~25:00,06:00~25:00,06:00~24:00,06:00~24:00,06:00~24:00
5464,5464,5464,하계5단지아파트 ((하계2동) 경비실),서울특별시 노원구 섬밭로 201 하계5단지아파트,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5465,5465,5465,종암극동아파트 (정문경비실),서울특별시 성북구 북악산로29길 67 (종암동),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5466,5466,5466,스타시티몰 (1층 하행 에스컬레이터 앞),"서울특별시 광진구 아차산로 262 (자양동, 더샵스타시티)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5467,5467,5467,당산2동주민센터 (2층 민원실),서울특별시 영등포구 당산로41가길 7 당산2동주민센터,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
5468,5468,5468,삼성고등학교 (본관1층 중앙현관),서울특별시 관악구 신림로 41,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,,,
5469,5469,5469,관악구수어통역센터 (사무실 내),"서울특별시 관악구 관악로 109, 건웅빌딩 6층 (봉천동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
5470,5470,5470,서울대포스코스포츠센터 (2층 강사실 입구),서울특별시 관악구 관악로 1 71-2동,05:30~23:00,05:30~23:00,05:30~23:00,05:30~23:00,05:30~23:00,10:00~18:00,,
5471,5471,5471,보라매삼성아파트 (103동 경비초소),서울특별시 관악구 보라매로 62,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5472,5472,5472,신림현대아파트 (경로당),서울특별시 관악구 신림로29길 8,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,00:00~24:00,00:00~24:00,00:00~24:00
5473,5473,5473,봉천동아아파트2단지(임대) (1층 노인정),서울특별시 관악구 관악로37길 20,,,,,,00:00~24:00,00:00~24:00,00:00~24:00
5474,5474,5474,보라매삼성아파트 (경비1초소내),서울특별시 관악구 보라매로 62,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5475,5475,5475,봉천두산아파트 (2단지 관리사무실1층),서울특별시 관악구 봉천로 387,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5476,5476,5476,신림동부아파트 (관리사무실 입구),서울특별시 관악구 신원로 26,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5477,5477,5477,봉천두산아파트 (1단지 어린이집 앞),서울특별시 관악구 봉천로 387,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5478,5478,5478,구립관악청소년센터 (지하1층 수영장입구),서울특별시 관악구 신림로23길 17,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,06:00~19:00,,
5479,5479,5479,원당초등학교 (교무실),서울특별시 관악구 봉천로 505,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,,,
5480,5480,5480,광신중학교 (학교보건실),서울특별시 관악구 광신길 141 광신중학교,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5481,5481,5481,봉림중학교 (학교보건실),서울특별시 관악구 장군봉길 72,07:00~20:00,07:00~20:00,07:00~20:00,07:00~20:00,07:00~20:00,,,
