,설치기관명,설치기관주소,구별설치기관주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
632,여의도고등학교 (동관 3층 체육관),"서울특별시 영등포구 국제금융로7길 37, 여의도고등학교 (여의도동)",영등포구,09:00~14:00,09:00~14:00,09:00~14:00,09:00~14:00,09:00~14:00,,,
633,여의도고등학교 (본관 1층 중앙현관),"서울특별시 영등포구 국제금융로7길 37, 여의도고등학교 (여의도동)",영등포구,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,,,
634,여의도자이아파트 (101동 1층 로비 데스크),서울특별시 영등포구 여의동로3길 10 여의도자이아파트,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
635,염광고등학교 (3층 중앙계단),서울특별시 노원구 월계로45가길 9 염광고등학교 (월계동),노원구 ,07:30~16:00,07:30~16:00,07:30~16:00,07:30~16:00,07:30~16:00,,,
636,염광중학교 (건물현관),"서울특별시 노원구 월계로45가길 9, 염광중,고,메디텍고,유치원 (월계동)",노원구 ,,,,,,,00:00~24:00,
637,염리삼성래미안아파트 (107동),"서울특별시 마포구 백범로25길 63(염리동, 염리삼성래미안)",마포구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
638,"염리삼성래미안아파트 (106동 3,4라인)","서울특별시 마포구 백범로25길 63(염리동, 염리삼성래미안)",마포구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
639,"염리삼성래미안아파트 (103동 1,2라인)","서울특별시 마포구 백범로25길 63(염리동, 염리삼성래미안)",마포구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
640,염창동주민센터 (민원실),"서울특별시 강서구 양천로67가길 63, 염창동주민센터 (염창동)",강서구 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
641,영등포구보건소 (일반구급차 내),서울특별시 영등포구 당산로 123 영등포구보건소,영등포구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
642,영등포구보건소 (제1예방접종센터 응급처치실),"서울특별시 영등포구 당산로 123, 영등포구청 (당산동3가)",영등포구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
643,영등포종합사회복지관 (1층 로비),"서울특별시 영등포구 신길로13길 4, 영등포종합사회복지관 (신길동)",영등포구,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,,,
644,영원무역명동빌딩 (1층 출입구 앞),서울특별시 중구 퇴계로 128(남산동2가),중구,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,09:00~21:00,09:00~21:00,09:00~21:00
645,올림픽병원 (신속진료실),"서울특별시 송파구 백제고분로 283, 어깨동무빌딩 (석촌동)",송파구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
646,왕십리자이아파트 (관리사무소 앞),"서울특별시 성동구 난계로 100  (하왕십리동, 왕십리자이)",성동구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
647,외교부 (외교부 13층 당직실(1312호)),"서울특별시 종로구 사직로8길 60, 정부서울청사별관 (도렴동)",종로구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
648,외교부 (외교부 9층 서쪽 복도),"서울특별시 종로구 사직로8길 60, 정부서울청사별관 (도렴동)",종로구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
649,외교부 (외교부5층 동쪽 복도),"서울특별시 종로구 사직로8길 60, 정부서울청사별관 (도렴동)",종로구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
650,외교부 (외교부5층 동쪽 복도),"서울특별시 종로구 사직로8길 60, 정부서울청사별관 (도렴동)",종로구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
651,용곡초등학교 (교무실 앞 복도),서울특별시 광진구 용마산로22길 82 서울용곡초등학교,광진구 ,09:00~16:40,09:00~16:40,09:00~16:40,09:00~16:40,09:00~16:40,,,
652,용답어린이집 (1층 원장실),서울특별시 성동구 자동차시장길 22 용답어린이집,성동구 ,07:30~21:30,07:30~21:30,07:30~21:30,07:30~21:30,07:30~21:30,,,
653,용두신동아아파트(분양) (정문초소내),"서울특별시 동대문구 무학로26길 30(용두동, 신동아아파트)",동대문구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
