,Unnamed: 0,설치기관명,설치기관주소,소재지,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일,위도,경도
5483,5484,거성파스텔아파트(양평동3가) (2층 관리사무소 내),서울특별시 영등포구 선유로43가길 24 거성파스텔아파트,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.5314273419218,126.892011715654
5484,5485,래미안영등포프레비뉴아파트 (후문 경비실 내),서울특별시 영등포구 가마산로 442 래미안영등포프레비뉴아파트,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.5049819420382,126.909527051265
5485,5486,래미안영등포프레비뉴아파트 (정문 경비실 내),서울특별시 영등포구 가마산로 442 래미안영등포프레비뉴아파트,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.5049819420382,126.909527051265
5486,5487,도림초등학교 (1층 본관 보안관실 옆),서울특별시 영등포구 가마산로65길 22 도림초등학교,영등포구,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,,,,37.5075030216931,126.907290718365
5487,5488,당서초등학교 (1층 복도 상담실 앞),서울특별시 영등포구 당산로 187 당서초등학교,영등포구,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,00:00~24:00,00:00~24:00,00:00~24:00,37.5320274377069,126.89981419859
5488,5489,양평한신휴플러스아파트(양평동5가) (103동 상황실 옆 선거관리위원회 사무실 내 우측 벽면),서울특별시 영등포구 양평로24길 9 양평 한신휴플러스아파트,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.5402803267019,126.891745831623
5489,5490,대영고등학교 (1층 보건실 쪽 현관 입구),서울특별시 영등포구 도림로86길 16 대영고등학교,영등포구,07:00~17:00,07:00~17:00,07:00~17:00,07:00~17:00,07:00~17:00,,,,37.5036530645899,126.905518076656
5490,5491,대림3동주민센터 (1층 민원실 내),서울특별시 영등포구 대림로 197 대림3동주민센터,영등포구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,37.498313519439,126.898034371631
5491,5492,문래동주민센터 (1층 민원봉사실 내부 입구 좌측면),서울특별시 영등포구 문래로28길 15 문래동주민센터,영등포구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,37.5171097508358,126.899523304199
5492,5493,용문고등학교 (본관 3층 중학교 연결통로),서울특별시 성북구 인촌로17가길 46 (안암동2가),성북구,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,,,,37.5882,127.0251
5493,5494,금융감독원 (20층 체력단련실 앞),서울특별시 영등포구 여의대로 38,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.5230829691019,126.921421724626
5494,5495,금융감독원 (9층 고객접견실 앞),서울특별시 영등포구 여의대로 38,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.5230829691019,126.921421724626
5495,5496,금융감독원 (1층 금융민원센터 앞),서울특별시 영등포구 여의대로 38,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.5230829691019,126.921421724626
5496,5497,북한산국립공원사무소 (재난안전과(순찰용)),"서울특별시 성북구 보국문로 215, 북한산국립공원 (정릉동)",성북구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.618180306058,126.997490878904
5497,5498,북한산국립공원사무소 (칼바위지킴터),서울특별시 성북구 보국문로 262,성북구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.6213167171732,126.994369985337
5498,5499,북한산국립공원사무소 (북악공원지킴터),서울특별시 성북구 보국문로 262,성북구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.6213167171732,126.994369985337
5499,5500,한성여중 (보건실옆),서울특별시 성북구 삼선교로16길 118 (삼선동2가),성북구,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,,,37.5819996035219,127.011312749775
5500,5501,성북정보도서관 (3층 안내데스크),서울특별시 성북구 화랑로18자길 13 (상월곡동) 3층,성북구,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~18:00,09:00~18:00,,37.6049728852085,127.050585543988
5501,5502,정덕초등학교 (2층 보건실 옆),서울특별시 성북구 아리랑로 63 (동소문동7가),성북구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,37.5982399496277,127.013421324355
5502,5503,정릉초교 (1층현관),서울특별시 성북구 솔샘로25가길 8 (정릉동),성북구,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,,37.6197915298294,127.005532713286
5503,5504,서울정수초등학교 (본관1층 중앙현관),서울특별시 성북구 정릉로24길 58 (정릉동),성북구,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,,37.6037748856219,127.007718883621
5504,5505,서울청덕초등학교 (보건실내),서울특별시 성북구 정릉로9라길 11 (정릉동),성북구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.6120328876191,127.000333434653
5505,5506,해오름어린이도서관 (도서관내),서울특별시 성북구 성북로4길 52 (돈암동) 한신한진아파트,성북구,,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,37.5944725333435,127.012706037821
5506,5507,광운초등학교 (본관서쪽현관),서울특별시 성북구 한천로 693 (장위동),성북구,07:00~16:30,07:00~16:30,07:00~16:30,07:00~16:30,07:00~16:30,07:00~11:30,,,37.6186,127.0548
5507,5508,길음중 (보건실앞 복도),서울특별시 성북구 삼양로 75-13 (길음동),성북구,09:00~16:30,09:00~16:30,09:00~16:30,09:00~16:30,09:00~16:30,,,,37.6096,127.0219
5508,5509,대광초교 (보건실앞),서울특별시 성북구 안암로 5 (보문동7가),성북구,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,37.5791510372431,127.023445857158
5509,5510,길원초교 (1층 교무실 앞),서울특별시 성북구 서경로8길 28-15 (길음동),성북구,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,,,,37.6042877584567,127.014927241078
5510,5511,서울돈암초등학교 (본관 1층 교무실 앞),서울특별시 성북구 동소문로13길 38 (동소문동6가),성북구,06:00~19:30,06:00~19:30,06:00~19:30,06:00~19:30,06:00~19:30,07:00~16:00,,,37.5937465608465,127.01310358283
5511,5512,삼선중 (3층 교무실 복도),서울특별시 성북구 동소문로3길 69 (동소문동4가),성북구,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,,37.5917476345244,127.007871631766
5512,5513,삼선초교 (1층교무실),서울특별시 성북구 보문로29길 106 (삼선동3가),성북구,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,,,37.5871415236472,127.012671844176
5513,5514,서울숭곡중학교 (2층 교육센터 앞),서울특별시 성북구 종암로 208 (하월곡동),성북구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,37.6084784793818,127.031299801245
5514,5515,숭례초교 (보건실),서울특별시 성북구 종암로5길 14 (종암동),성북구,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,,,,37.594521188017,127.035297176327
5515,5516,서울장월초등학교 (1층 보건실 앞),서울특별시 성북구 한천로101길 66 (장위동),성북구,08:40~17:00,08:40~17:00,08:40~17:00,08:40~17:00,08:40~17:00,,,,37.6219292248914,127.047320465849
5516,5517,숭덕초등학교 (1층중앙현관),서울특별시 성북구 정릉로 279 (정릉동),성북구,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,,37.603819799563,127.013290960705
5517,5518,서울장곡초등학교 (1층 중앙현관 기둥),서울특별시 성북구 장월로23길 16 (장위동),성북구,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,,,,37.6168600216767,127.048151233375
5518,5519,장위중 (본관현관입구),서울특별시 성북구 장위로4길 70 (장위동),성북구,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,,37.6112925060526,127.040841148566
5519,5520,대일외국어고등학교 (1층교무실옆),서울특별시 성북구 서경로 116 (정릉동),성북구,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,06:00~18:00,06:00~18:00,06:00~18:00,37.6133045933527,127.014175970968
5520,5521,서울대학교사범대학부설고등학교 (1층 복도),서울특별시 성북구 월곡로 6 (종암동),성북구,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,,,,37.594723843967,127.038120392429
5521,5522,성북초등학교 (보건실앞),서울특별시 성북구 성북로 102-10 (성북동),성북구,08:00~16:40,08:00~16:40,08:00~16:40,08:00~16:40,08:00~16:40,00:00~00:01,,00:00~00:01,37.5940538893567,126.99877539809
5522,5523,숭인초교 (보건실),서울특별시 성북구 오패산로16길 37 (하월곡동),성북구,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~13:00,,,37.6091601974333,127.038234105412
5523,5524,동구마케팅고등학교 (보건실 앞),서울특별시 성북구 성북로8길 71 (성북동),성북구,07:30~18:00,07:30~18:00,07:30~18:00,07:30~18:00,07:30~18:00,,,,37.5941058673244,127.008215312445
5524,5525,종암중 (보건실앞),서울특별시 성북구 종암로5길 80-17 (종암동),성북구,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,,,,37.5929705982625,127.031747584508
5525,5526,한성여고 (3층보건실앞),서울특별시 성북구 삼선교로16길 117 (삼선동2가),성북구,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,,,,37.583064896247,127.011742675693
5526,5527,홍대부중 (보건실앞),서울특별시 성북구 성북로14가길 23 (성북동),성북구,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,07:30~20:00,37.5936666161184,127.002804963597
5527,5528,홍익대사대부속고등학교 (1층보건실),서울특별시 성북구 성북로14가길 23 (성북동),성북구,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,00:00~24:00,08:00~16:00,37.5936666161184,127.002804963597
5528,5529,개운초등학교 (1층 보건실 옆),서울특별시 성북구 정릉로48길 52 (돈암동),성북구,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,,,,37.6018109508133,127.027404487079
5529,5530,고명경영고등학교 (제1교무실),서울특별시 성북구 북악산로 870 (돈암동),성북구,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,,37.5976746822279,127.019186925653
5530,5531,길음초등학교 (1층현관),서울특별시 성북구 길음로 142 (길음동),성북구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.6136311475404,127.016659970388
5531,5532,서울 미아초등학교 (1층보건실앞),"서울특별시 성북구 삼양로 77, 서울미아초등학교 (길음동)",성북구,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,,37.6105876087904,127.021644405392
5532,5533,석관고 (A동 주차장 쪽 복도 벽면),서울특별시 성북구 한천로70길 30 (석관동),성북구,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,,,,37.6095892871169,127.066717588798
5533,5534,성신여자중학교 (1층 보건실 앞),서울특별시 성북구 북악산로 918 (돈암동),성북구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.5946226781717,127.023128563512
5534,5535,성신초등학교 (본관2층 통로벽),서울특별시 성북구 동소문로26가길 76-4 (돈암동),성북구,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,00:00~24:00,00:00~24:00,00:00~24:00,37.5946422251849,127.022213875904
5535,5536,숭곡초등학교 (1층 교장실 앞),서울특별시 성북구 종암로40길 30 (하월곡동),성북구,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,,,,37.6084328380922,127.032815115145
5536,5537,서울일신초등학교 (1층 급식실 앞),서울특별시 성북구 월곡로 74 (종암동),성북구,07:00~17:00,07:00~17:00,07:00~17:00,07:00~17:00,07:00~17:00,08:00~13:00,,,37.5988135716924,127.040178106531
5537,5538,성신여자고등학교 (본관 1층 교무실 앞),서울특별시 성북구 동소문로26가길 80 (돈암동),성북구,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,,,,37.5942896306119,127.022407171613
5538,5539,회현체육센터 (2층안내데스크),서울특별시 중구 퇴계로12길 78,중구,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,06:00~20:00,1309:30~18:00,06:00~20:00,37.5560315749818,126.981637818762
