역이름,호선,가까운 AED,AED 위도,AED 경도,역으로부터 거리(m)
당산역,02호선,9호선당산역 (8번출구 역무실 옆),37.5337405945415,126.902171452197,121.11297282658403
당산역,02호선,당산지구대 (당산지구대 1층 내),37.5336156813601,126.901263890593,174.94790995191124
당산역,02호선,당산삼성래미안4차아파트(당산동5가) (관리사무소),37.5329312320335,126.902834034778,205.82473040277821
당산역,02호선,강마을삼성래미안당산1차아파트(당산동6가) (중앙초소 냉장고 옆),37.5348525878631,126.905126744443,222.32954356371917
약수역,03호선,3호선 약수역 (역무실 앞),37.5545595558163,127.010822526737,9.51728782432558
약수역,03호선,6호선 약수역 (지하 2층 엘리베이터 옆),37.5538914380831,127.010120543543,94.92709442062448
약수역,03호선,약수노인종합복지관 (3층 기능회복실 입구),37.552470629334,127.009330432792,263.25103470029046
약수역,03호선,약수보건지소 (약수보건지소),37.552473448475,127.0089947743,279.56576476682403
약수역,03호선,약수보건지소 (1층 민원실),37.552473448475,127.0089947743,279.56576476682403
충정로역,02호선,중구보건소중림동보건분소 (1층 민원대기실),37.559430257461,126.966259528781,160.4307264284107
충정로역,02호선,리하우스 (관리사무소),37.5599142889134,126.966632465339,190.26606156317
충정로역,02호선,풍산빌딩 (16층 엘리베이터 홀에 비치),37.5611430497586,126.962944675196,206.10249674168134
충정로역,02호선,풍산빌딩 (1층 로비),37.5611430497586,126.962944675196,206.10249674168134
녹번역,03호선,녹번역 (3번출구 안내부스 앞),37.6007421809861,126.936019442532,19.292514014283178
녹번역,03호선,힐스테이트 녹번 아파트 (관리사무소 입구),37.6019824456298,126.935947829509,131.65673778993164
녹번역,03호선,"래미안 베리힐즈 아파트 (커뮤니티내 1층, 211동 210동 사이)",37.6028449679876,126.935955809882,227.38077047072014
녹번역,03호선,은평초등학교 (본관1층 중앙현관 행정실 앞),37.6023040358796,126.934033612153,229.05222284198598
종합운동장역,02호선,9호선 종합운동장역 (9번출구 지하1층 대합실 고객안전실 정면),37.5109692748993,127.073356018706,45.95361378872214
종합운동장역,02호선,2호선 종합운동장역 (고객안내센터 좌측벽면),37.5109692748993,127.073356018706,45.95361378872214
종합운동장역,02호선,정신여자고등학교 (보건실 앞),37.5094538398143,127.073847329188,186.41194338312596
종합운동장역,02호선,정신여자중학교 (102호 앞홈베이스 앞),37.5094538398143,127.073847329188,186.41194338312596
종합운동장역,02호선,서울송파모범운전자회 (사무실 전면),37.5106823860183,127.075936810272,191.88750068910016
종합운동장역,02호선,송파문화예술회관 (1층 로비),37.5106823860183,127.075936810272,191.88750068910016
종합운동장역,02호선,아시아선수촌아파트 (관리사무소 출입문 우측벽면),37.5086743363441,127.074777283239,285.43201010026473
합정역,02호선,서울메트로(2호선 합정역) (2호선합정역 지하1층대합실),37.5501152068908,126.914638180431,29.123805126815675
합정역,02호선,서울교통공사(6호선합정역) (6호선합정역 지하3층대합실),37.5492591944858,126.913190884167,131.78929759024444
합정역,02호선,메세나폴리스아파트 (메세나폴리스아파트 102동 B1층),37.5515008030203,126.91395024016,183.15974454610213
합정역,02호선,메세나폴리스아파트 (메세나폴리스아파트 103동 B1층),37.5515008030203,126.91395024016,183.15974454610213
합정역,02호선,메세나폴리스아파트 (메세나폴리스아파트 101동 B1층),37.5515008030203,126.91395024016,183.15974454610213
합정역,02호선,서교동효성해링턴타워 (1층 로비),37.5508138163956,126.916493990351,206.99789844089162
합정역,02호선,합정시장 (마트 정문 좌측),37.5482111497934,126.913186328313,218.36593344059713
금호역,03호선,3호선금호역 (가 게이트 좌측 벽면),37.5481125196986,127.015893753726,17.174936586786433
금호역,03호선,금옥초등학교 (1층 보건실),37.5463023672305,127.017491634615,262.4563472983126
금호역,03호선,래미안옥수리버젠아파트 (107동 지하1층 관리사무소),37.5460598514009,127.013847173899,299.7698959624891
금호역,03호선,래미안옥수리버젠아파트 (107동 지하1층 방재실),37.5460598514009,127.013847173899,299.7698959624891
홍대입구역,02호선,서울교통공사(2호선홍대입구역) (2호선홍대입구역 역무실앞),37.5568904093718,126.923674307594,8.534084603161787
홍대입구역,02호선,서교초등학교 (학교본관 1층 로비),37.5548890266506,126.924378697301,226.12172521312704
홍대입구역,02호선,경의선 홍대입구역 (역사사무실앞),37.5577458058734,126.926498328277,260.1490779077126
홍대입구역,02호선,공항철도(주)홍대입구역 (지하2층 환승통로),37.5574452272604,126.926778735002,273.4209347926568
홍대입구역,02호선,공항철도(주)홍대입구역 (지하4층 하행승강장),37.5574452272604,126.926778735002,273.4209347926568
홍대입구역,02호선,공항철도(주)홍대입구역 (지하4층 상행승강장),37.5574452272604,126.926778735002,273.4209347926568
홍대입구역,02호선,공항철도(주)홍대입구역 (지하2층 대합실),37.5574452272604,126.926778735002,273.4209347926568
홍대입구역,02호선,마포평생학습관 (1층 안내실),37.5543219169157,126.924204080661,285.2529469699012
홍제역,03호선,3호선 홍제역 (지하2층 고객안내 부스 근처),37.5887103667691,126.944242309924,11.402592870709695
홍제역,03호선,홍제파출소 (출입구 왼쪽 벽면),37.5881707286561,126.944553282812,76.9853585843259
홍제역,03호선,홍제1동주민센터 (1층 민원실 오른쪽 벽),37.5877538083191,126.94506490372,140.0503308265082
